China, 1438192092, 5000, 0, 0, 90
France, 65244234, 0, 0, 0, 70
India, 1380004385, 0, 0, 0, 50
United States, 331002651, 0, 0, 0, 50
Indonesia, 273523615, 0, 0, 0, 50
Pakistan,	220892340, 0, 0, 0, 50
Brazil,	212559417, 0, 0, 0, 50
Nigeria,	206139589, 0, 0, 0, 50
Bangladesh,	164689383, 0, 0, 0, 50
Russia,	145934462, 0, 0, 0, 50
Mexico,	128932753, 0, 0, 0, 50
Japan,	126476461, 0, 0, 0, 50
Ethiopia,	114963588, 0, 0, 0, 50
Philippines, 109581078, 0, 0, 0, 50
Egypt, 102334404, 0, 0, 0, 50
Vietnam, 97338579, 0, 0, 0, 50
Turkey, 84339067, 0, 0, 0, 50
Iran, 83992949, 0, 0, 0, 50
Germany, 83783942, 0, 0, 0, 50
Thailand, 69799978, 0, 0, 0, 50
